id,description,order,recipeId
1,Step 1 for Kung Pao Chicken template,1,1
2,Step 2 for Kung Pao Chicken template,2,1
3,Step 3 for Kung Pao Chicken template,3,1
4,Step 1 for Beef and Broccoli template,1,2
5,Step 2 for Beef and Broccoli template,2,2
6,Step 3 for Beef and Broccoli template,3,2
7,Step 1 for Sweet and Sour Pork template,1,3
8,Step 2 for Sweet and Sour Pork template,2,3
9,Step 1 for Vegetable Lo Mein template,1,4
10,Step 2 for Vegetable Lo Mein template,2,4
11,Step 3 for Vegetable Lo Mein template,3,4
